# Assembly Statistics Report
# Assembly name:  ASM2041835v1
# Organism name:  Escherichia coli (E. coli)
# Infraspecific name:  strain=C14S14_CMC5
# Taxid:          562
# BioSample:      SAMN20931202
# BioProject:     PRJNA756824
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2021-10-11
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAIZPP01
# Assembly method: SPAdes v. 3.13.1
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_020418355.1
# RefSeq assembly accession: GCF_020418355.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020418375.1	GCF_020418375.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	pIncQ1	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncQ1	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncQ1	Plasmid	all	gc-perc	59
Primary Assembly	pIncQ1	Plasmid	assembled-molecule	total-length	4662
Primary Assembly	pIncQ1	Plasmid	assembled-molecule	ungapped-length	4662
Primary Assembly	pIncQ1	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncQ1	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncQ1	Plasmid	assembled-molecule	gc-perc	59
Primary Assembly	pIncQ1	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncQ1	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncQ1	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncQ1	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pColKP3	Plasmid	all	total-length	8848
Primary Assembly	pColKP3	Plasmid	all	ungapped-length	8848
Primary Assembly	pColKP3	Plasmid	all	spanned-gaps	0
Primary Assembly	pColKP3	Plasmid	all	unspanned-gaps	0
Primary Assembly	pColKP3	Plasmid	all	gc-perc	49.5
Primary Assembly	pColKP3	Plasmid	assembled-molecule	total-length	8848
Primary Assembly	pColKP3	Plasmid	assembled-molecule	ungapped-length	8848
Primary Assembly	pColKP3	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pColKP3	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pColKP3	Plasmid	assembled-molecule	gc-perc	49.5
Primary Assembly	pColKP3	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pColKP3	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pColKP3	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pColKP3	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pIncX3	Plasmid	all	total-length	34406
Primary Assembly	pIncX3	Plasmid	all	ungapped-length	34406
Primary Assembly	pIncX3	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncX3	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncX3	Plasmid	all	gc-perc	44.5
Primary Assembly	pIncX3	Plasmid	assembled-molecule	total-length	34406
Primary Assembly	pIncX3	Plasmid	assembled-molecule	ungapped-length	34406
Primary Assembly	pIncX3	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncX3	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncX3	Plasmid	assembled-molecule	gc-perc	44.5
Primary Assembly	pIncX3	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncX3	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncX3	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncX3	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	all	total-length	6133
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	all	ungapped-length	6133
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	all	gc-perc	53
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	assembled-molecule	total-length	6133
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	assembled-molecule	ungapped-length	6133
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	assembled-molecule	gc-perc	53
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncFII-AMA1167-NDM5	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pIncFIB-AP001918	Plasmid	all	total-length	6217
Primary Assembly	pIncFIB-AP001918	Plasmid	all	ungapped-length	6217
Primary Assembly	pIncFIB-AP001918	Plasmid	all	spanned-gaps	0
Primary Assembly	pIncFIB-AP001918	Plasmid	all	unspanned-gaps	0
Primary Assembly	pIncFIB-AP001918	Plasmid	all	gc-perc	45
Primary Assembly	pIncFIB-AP001918	Plasmid	assembled-molecule	total-length	6217
Primary Assembly	pIncFIB-AP001918	Plasmid	assembled-molecule	ungapped-length	6217
Primary Assembly	pIncFIB-AP001918	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pIncFIB-AP001918	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pIncFIB-AP001918	Plasmid	assembled-molecule	gc-perc	45
Primary Assembly	pIncFIB-AP001918	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	pIncFIB-AP001918	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	pIncFIB-AP001918	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pIncFIB-AP001918	Plasmid	unlocalized-scaffold	unspanned-gaps	0
